sample_id,is_buyer,buy_freq,visit_freq,buy_interval,sv_interval,expected_time_buy,expected_time_visit,last_buy,last_visit,multiple_buy,multiple_visit,uniq_urls,num_checkins,y_buy
42,1,1,2,0,3.125,0,1.383983,0,0,0,1,20,43,1
43,0,NA,2,0,0.0416667,0,-55.59977,55,55,0,1,5,30,1
44,0,NA,1,0,0,0,0,0,0,0,0,1,12,1
45,1,1,4,0,9.652778,0,5.215079,2,2,0,1,89,219,1
46,1,1,4,0,16.19444,0,12.10555,0,0,0,1,103,334,1
47,0,NA,1,0,0,0,0,7,7,0,0,5,18,1
48,0,NA,1,0,0,0,0,3,3,0,0,48,452,1
49,0,NA,4,0,1.972222,0,-0.5769792,2,2,0,1,41,138,1
50,1,2,44,34.95833,3.736434,-52.81786,-12.60384,16,16,1,1,162,2779,1
51,1,1,1,0,0,0,0,1,1,0,0,30,110,1
52,0,NA,3,0,6.8125,0,-2.560879,7,7,0,1,38,158,1
53,1,1,17,0,8.541667,0,4.005211,4,4,0,1,71,255,1
54,0,NA,1,0,0,0,0,8,8,0,0,13,249,1
55,0,NA,7,0,1.791667,0,1.391398,0,0,0,1,172,2112,1
56,0,NA,4,0,3.819444,0,-1.79935,4,4,0,1,16,103,1
57,1,1,0,0,0,0,0,0,0,0,0,21,112,1
58,0,NA,2,0,6.666667,0,3.276654,0,0,0,1,60,111,1
59,0,NA,1,0,0,0,0,2,2,0,0,3,17,1
60,0,NA,12,0,6.356061,0,5.413635,0,0,0,1,6,176,1
61,1,1,4,0,2.652778,0,-51.0328,53,53,0,1,178,732,1
62,0,NA,1,0,0,0,0,18,18,0,0,17,159,1
63,1,2,5,28,14.02083,-23.25298,2.047025,9,9,1,1,145,914,1
64,0,NA,5,0,8.020833,0,-0.5708333,6,6,0,1,7,67,1
65,0,NA,1,0,0,0,0,0,0,0,0,1,9,1
66,1,1,9,0,4.989583,0,-55.27901,59,59,0,1,163,777,1
67,0,NA,5,0,1.260417,0,0.9751167,0,0,0,1,7,37,1
68,0,NA,5,0,15.19792,0,10.76956,1,1,0,1,33,163,1
69,0,NA,2,0,17.625,0,-102.2461,111,111,0,1,83,285,1
70,1,1,4,0,10.51389,0,-35.56189,43,43,0,1,132,277,1
71,0,NA,1,0,0,0,0,1,1,0,0,37,277,1
72,0,NA,1,0,0,0,0,103,103,0,0,173,4205,1
73,0,NA,1,0,0,0,0,83,83,0,0,164,1292,1
74,1,2,46,0.9583333,0.6527778,-10.61711,0.5839787,0,0,1,1,51,246,1
75,0,NA,9,0,2.911458,0,1.281388,1,1,0,1,11,69,1
76,0,NA,2,0,0.0416667,0,-0.0220958,0,0,0,1,7,34,1
77,1,1,3,0,4.666667,0,-3.695151,6,6,0,1,8,27,1
78,1,7,9,13.18056,11.83854,-61.34244,-51.36691,61,61,1,1,162,1035,1
79,0,NA,1,0,0,0,0,0,0,0,0,38,15,1
80,0,NA,4,0,37.43056,0,27.11345,0,0,0,1,121,1054,1
81,1,15,65,8.535714,1.913411,3.485925,0.8198994,1,1,1,1,98,726,1
82,1,3,26,6.0625,1.918333,2.918842,1.55506,0,0,1,1,27,202,1
83,0,NA,10,0,10.64815,0,-37.90319,47,47,0,1,64,474,1
84,1,1,1,0,0,0,0,22,22,0,0,-1,385,1
85,0,NA,1,0,0,0,0,14,14,0,0,102,243,1
86,0,NA,1,0,0,0,0,106,106,0,0,169,2130,0
87,0,NA,1,0,0,0,0,6,6,0,0,150,539,0
88,0,NA,2,0,0.5,0,-101.1493,101,101,0,1,103,362,0
89,0,NA,1,0,0,0,0,42,42,0,0,17,35,0
90,0,NA,3,0,45.47917,0,-34.14473,64,64,0,1,100,298,0
91,0,NA,1,0,0,0,0,13,13,0,0,53,247,0
92,1,1,2,0,0.9583333,0,-20.6712,21,21,0,1,65,175,0
93,0,NA,1,0,0,0,0,151,151,0,0,24,198,0
94,0,NA,1,0,0,0,0,68,68,0,0,64,305,0
95,0,NA,2,0,15.95833,0,-6.683471,14,14,0,1,101,1105,0
96,0,NA,1,0,0,0,0,19,19,0,0,30,76,0
97,0,NA,2,0,27.25,0,-124.61,138,138,0,1,172,828,0
98,0,NA,3,0,8.395833,0,2.534722,3,3,0,1,146,398,0
99,0,NA,1,0,0,0,0,9,9,0,0,-1,26,0
100,0,NA,1,0,0,0,0,145,145,0,0,179,1215,0
101,0,NA,8,0,15.99405,0,12.56926,1,1,0,1,64,167,0
102,0,NA,1,0,0,0,0,39,39,0,0,165,3883,0
103,0,NA,1,0,0,0,0,34,34,0,0,96,219,0
104,0,NA,1,0,0,0,0,135,135,0,0,143,1011,0
105,0,NA,1,0,0,0,0,77,77,0,0,81,219,0
106,0,NA,3,0,0.1458333,0,0.0709847,0,0,0,1,13,113,0
107,0,NA,1,0,0,0,0,181,181,0,0,30,143,0
108,0,NA,2,0,34.95833,0,-55.56098,73,73,0,1,69,284,0
109,0,NA,1,0,0,0,0,20,20,0,0,3,21,0
110,0,NA,1,0,0,0,0,65,65,0,0,188,2692,0
111,0,NA,1,0,0,0,0,72,72,0,0,22,95,0
112,0,NA,1,0,0,0,0,127,127,0,0,68,823,0
113,0,NA,1,0,0,0,0,13,13,0,0,26,206,0
114,0,NA,2,0,3.958333,0,-161.5957,163,163,0,1,67,321,0
115,0,NA,1,0,0,0,0,30,30,0,0,15,183,0
116,0,NA,1,0,0,0,0,1,1,0,0,37,491,0
117,0,NA,2,0,17.83333,0,-66.12279,75,75,0,1,22,109,0
118,0,NA,1,0,0,0,0,52,52,0,0,124,698,0
119,0,NA,1,0,0,0,0,146,146,0,0,206,8234,0
120,0,NA,3,0,26.77083,0,-96.89964,114,114,0,1,69,734,0
121,0,NA,1,0,0,0,0,26,26,0,0,12,51,0
122,0,NA,3,0,5.708333,0,-13.23332,17,17,0,1,14,50,0
123,0,NA,1,0,0,0,0,97,97,0,0,106,451,0
124,0,NA,1,0,0,0,0,92,92,0,0,96,436,0
125,0,NA,1,0,0,0,0,98,98,0,0,10,52,0
126,0,NA,1,0,0,0,0,77,77,0,0,57,189,0
127,0,NA,2,0,0.0416667,0,-55.91903,55,55,0,1,88,302,0
128,0,NA,1,0,0,0,0,140,140,0,0,14,46,0
129,0,NA,1,0,0,0,0,164,164,0,0,165,288,0
130,0,NA,1,0,0,0,0,92,92,0,0,67,157,0
131,0,NA,3,0,84.375,0,49.08807,7,7,0,1,155,3167,0
132,0,NA,1,0,0,0,0,38,38,0,0,145,735,0
133,0,NA,1,0,0,0,0,21,21,0,0,22,118,0
134,0,NA,1,0,0,0,0,23,23,0,0,43,413,0
135,0,NA,1,0,0,0,0,0,0,0,0,-1,99,0
136,0,NA,8,0,9.023809,0,-8.645671,16,16,0,1,0,712,0
137,0,NA,1,0,0,0,0,45,45,0,0,27,236,0
138,0,NA,1,0,0,0,0,11,11,0,0,33,55,0
139,1,1,3,0,0.4375,0,-0.7703708,1,1,0,1,101,395,0
140,0,NA,1,0,0,0,0,152,152,0,0,72,101,0
141,0,NA,1,0,0,0,0,12,12,0,0,115,284,0
142,0,NA,1,0,0,0,0,22,22,0,0,135,821,0
143,0,NA,3,0,15.41667,0,-9.89163,20,20,0,1,37,171,0
144,0,NA,1,0,0,0,0,4,4,0,0,169,815,0
145,0,NA,1,0,0,0,0,134,134,0,0,15,98,0
146,0,NA,2,0,27.29167,0,12.97609,0,0,0,1,125,1017,0
147,0,NA,2,0,26.08333,0,-45.22265,58,58,0,1,0,345,0
148,0,NA,1,0,0,0,0,168,168,0,0,164,1163,0
149,0,NA,2,0,2.833333,0,-84.58539,86,86,0,1,174,1538,0
150,0,NA,2,0,18.83333,0,1.650208,7,7,0,1,26,185,0
151,0,NA,1,0,0,0,0,86,86,0,0,171,1066,0
152,0,NA,1,0,0,0,0,118,118,0,0,115,2569,0
153,0,NA,1,0,0,0,0,4,4,0,0,9,491,0
154,0,NA,1,0,0,0,0,170,170,0,0,187,1452,0
155,0,NA,2,0,92.75,0,43.58767,2,2,0,1,133,6588,0
156,0,NA,1,0,0,0,0,44,44,0,0,138,192,0
157,0,NA,5,0,1.979167,0,-45.52714,47,47,0,1,164,253,0
158,0,NA,1,0,0,0,0,178,178,0,0,79,520,0
159,0,NA,1,0,0,0,0,81,81,0,0,1,9,0
160,0,NA,1,0,0,0,0,21,21,0,0,81,162,0
161,0,NA,1,0,0,0,0,52,52,0,0,94,1362,0
162,0,NA,2,0,8.958333,0,-58.69824,63,63,0,1,81,256,0
163,0,NA,2,0,9.083333,0,2.575404,1,1,0,1,5,326,0
164,0,NA,3,0,40.58333,0,-55.13412,82,82,0,1,25,50,0
165,0,NA,2,0,1.958333,0,-45.89526,46,46,0,1,52,375,0
166,0,NA,1,0,0,0,0,4,4,0,0,126,184,0
167,0,NA,1,0,0,0,0,181,181,0,0,151,371,0
168,0,NA,1,0,0,0,0,128,128,0,0,170,594,0
169,1,1,2,0,1.083333,0,-34.03693,34,34,0,1,0,1775,0
170,0,NA,1,0,0,0,0,10,10,0,0,-1,364,0
171,0,NA,2,0,22.66667,0,7.377708,3,3,0,1,184,1184,0
172,0,NA,3,0,59.0625,0,10.56077,28,28,0,1,83,344,0
173,0,NA,1,0,0,0,0,3,3,0,0,102,381,0
174,0,NA,1,0,0,0,0,68,68,0,0,20,102,0
175,0,NA,1,0,0,0,0,112,112,0,0,180,636,0
176,0,NA,1,0,0,0,0,166,166,0,0,79,743,0
177,0,NA,1,0,0,0,0,39,39,0,0,43,109,0
178,0,NA,1,0,0,0,0,154,154,0,0,166,913,0
179,0,NA,5,0,19.75,0,-13.11425,28,28,0,1,115,3855,0
180,0,NA,1,0,0,0,0,63,63,0,0,63,536,0
181,0,NA,1,0,0,0,0,42,42,0,0,51,99,0
182,0,NA,1,0,0,0,0,22,22,0,0,76,175,0
183,0,NA,1,0,0,0,0,184,184,0,0,130,301,0
184,0,NA,4,0,7.986111,0,-29.09302,35,35,0,1,187,465,0
185,1,1,4,0,9.486111,0,3.196425,3,3,0,1,148,2918,0
186,0,NA,1,0,0,0,0,89,89,0,0,69,258,0
187,0,NA,1,0,0,0,0,135,135,0,0,181,5374,0
188,0,NA,1,0,0,0,0,137,137,0,0,154,348,0
189,1,1,1,0,0,0,0,79,79,0,0,5,118,0
190,0,NA,4,0,19.33333,0,-17.5754,32,32,0,1,155,970,0
191,0,NA,2,0,0.0416667,0,-160.0011,160,160,0,1,177,1374,0
192,0,NA,1,0,0,0,0,12,12,0,0,3,36,0
193,0,NA,1,0,0,0,0,54,54,0,0,5,52,0
194,0,NA,2,0,1.416667,0,-36.05544,36,36,0,1,57,155,0
195,0,NA,1,0,0,0,0,52,52,0,0,0,510,0
196,0,NA,1,0,0,0,0,100,100,0,0,101,361,0
197,0,NA,2,0,4,0,-3.318346,5,5,0,1,15,42,0
198,0,NA,1,0,0,0,0,15,15,0,0,7,100,0
199,0,NA,1,0,0,0,0,12,12,0,0,-1,414,0
200,0,NA,2,0,70.25,0,19.21215,15,15,0,1,118,244,0
201,0,NA,1,0,0,0,0,56,56,0,0,-1,1663,0
202,0,NA,1,0,0,0,0,172,172,0,0,159,883,0
203,1,1,2,0,0.5416667,0,-59.03211,59,59,0,1,39,947,0
204,0,NA,1,0,0,0,0,38,38,0,0,23,82,0
205,0,NA,1,0,0,0,0,166,166,0,0,167,424,0
206,0,NA,1,0,0,0,0,80,80,0,0,72,288,0
207,0,NA,1,0,0,0,0,91,91,0,0,135,219,0
208,0,NA,1,0,0,0,0,43,43,0,0,7,21,0
209,0,NA,1,0,0,0,0,130,130,0,0,45,85,0
210,0,NA,1,0,0,0,0,96,96,0,0,162,1183,0
211,0,NA,1,0,0,0,0,7,7,0,0,177,1356,0
212,1,1,2,0,24.625,0,9.345117,2,2,0,1,92,243,0
213,0,NA,1,0,0,0,0,70,70,0,0,97,778,0
214,0,NA,1,0,0,0,0,147,147,0,0,80,183,0
215,0,NA,2,0,68.04166,0,16.31992,17,17,0,1,63,211,0
216,0,NA,1,0,0,0,0,8,8,0,0,-1,691,0
217,0,NA,1,0,0,0,0,15,15,0,0,59,81,0
218,0,NA,2,0,93.375,0,-11.26192,57,57,0,1,155,8396,0
219,0,NA,1,0,0,0,0,60,60,0,0,144,377,0
220,0,NA,1,0,0,0,0,20,20,0,0,152,601,0
221,0,NA,2,0,0.125,0,-152.7635,152,152,0,1,75,268,0
222,0,NA,2,0,2,0,-39.78109,40,40,0,1,105,368,0
223,0,NA,1,0,0,0,0,58,58,0,0,14,76,0
224,0,NA,1,0,0,0,0,114,114,0,0,174,1545,0
225,0,NA,1,0,0,0,0,17,17,0,0,52,595,0
226,0,NA,1,0,0,0,0,98,98,0,0,44,109,0
227,0,NA,1,0,0,0,0,29,29,0,0,170,533,0
228,0,NA,1,0,0,0,0,20,20,0,0,27,139,0
229,0,NA,1,0,0,0,0,80,80,0,0,145,3975,0
230,1,1,1,0,0,0,0,0,0,0,0,141,713,0
231,0,NA,1,0,0,0,0,16,16,0,0,9,34,0
232,0,NA,1,0,0,0,0,182,182,0,0,175,378,0
233,0,NA,3,0,19.47917,0,-122.0352,135,135,0,1,32,339,0
234,0,NA,1,0,0,0,0,52,52,0,0,132,188,0
235,0,NA,1,0,0,0,0,165,165,0,0,24,40,0
236,0,NA,2,0,72.20834,0,-50.1789,86,86,0,1,171,1399,0
237,0,NA,1,0,0,0,0,28,28,0,0,101,218,0
238,0,NA,1,0,0,0,0,49,49,0,0,164,606,0
239,0,NA,1,0,0,0,0,110,110,0,0,86,567,0
240,0,NA,1,0,0,0,0,137,137,0,0,22,133,0
241,0,NA,1,0,0,0,0,166,166,0,0,1,16,0
242,0,NA,1,0,0,0,0,8,8,0,0,-1,14,0
243,0,NA,1,0,0,0,0,7,7,0,0,7,49,0
244,0,NA,1,0,0,0,0,2,2,0,0,48,217,0
245,0,NA,1,0,0,0,0,10,10,0,0,21,85,0
246,0,NA,2,0,0.0833333,0,-4.065508,4,4,0,1,48,116,0
247,0,NA,1,0,0,0,0,7,7,0,0,131,890,0
248,0,NA,1,0,0,0,0,35,35,0,0,91,4290,0
249,0,NA,2,0,12.66667,0,-0.6122917,6,6,0,1,27,85,0
250,0,NA,9,0,8.770833,0,1.248725,6,6,0,1,158,1609,0
251,0,NA,1,0,0,0,0,168,168,0,0,21,91,0
252,0,NA,1,0,0,0,0,39,39,0,0,174,951,0
253,0,NA,2,0,26.25,0,-112.6466,125,125,0,1,69,306,0
254,0,NA,1,0,0,0,0,109,109,0,0,24,437,0
255,0,NA,1,0,0,0,0,124,124,0,0,170,1354,0
256,0,NA,1,0,0,0,0,104,104,0,0,57,185,0
257,0,NA,1,0,0,0,0,0,0,0,0,124,186,0
258,0,NA,1,0,0,0,0,12,12,0,0,15,44,0
259,0,NA,1,0,0,0,0,163,163,0,0,175,1999,0
260,0,NA,1,0,0,0,0,41,41,0,0,72,238,0
261,0,NA,1,0,0,0,0,75,75,0,0,25,74,0
262,0,NA,1,0,0,0,0,43,43,0,0,170,672,0
263,0,NA,1,0,0,0,0,40,40,0,0,70,208,0
264,0,NA,1,0,0,0,0,1,1,0,0,3,57,0
265,0,NA,3,0,8.541667,0,-32.97184,38,38,0,1,63,479,0
266,0,NA,1,0,0,0,0,39,39,0,0,46,157,0
267,0,NA,1,0,0,0,0,30,30,0,0,78,199,0
268,0,NA,1,0,0,0,0,158,158,0,0,62,986,0
269,0,NA,2,0,1,0,-72.36922,72,72,0,1,122,525,0
270,0,NA,1,0,0,0,0,9,9,0,0,81,194,0
271,0,NA,1,0,0,0,0,11,11,0,0,93,227,0
272,0,NA,1,0,0,0,0,52,52,0,0,116,594,0
273,0,NA,1,0,0,0,0,173,173,0,0,98,383,0
274,0,NA,1,0,0,0,0,78,78,0,0,169,1169,0
275,1,1,3,0,4.979167,0,-74.80238,78,78,0,1,177,1003,0
276,0,NA,1,0,0,0,0,52,52,0,0,28,108,0
277,0,NA,1,0,0,0,0,40,40,0,0,124,243,0
278,0,NA,1,0,0,0,0,103,103,0,0,53,114,0
279,0,NA,3,0,63.91667,0,-0.5025806,43,43,0,1,169,1005,0
280,0,NA,1,0,0,0,0,50,50,0,0,35,90,0
281,0,NA,1,0,0,0,0,7,7,0,0,17,60,0
282,0,NA,2,0,25.54167,0,-16.69888,29,29,0,1,45,148,0
283,0,NA,1,0,0,0,0,7,7,0,0,40,95,0
284,1,1,8,0,10.10119,0,-32.27707,41,41,0,1,162,2347,0
285,0,NA,1,0,0,0,0,51,51,0,0,102,191,0
286,0,NA,1,0,0,0,0,0,0,0,0,51,433,0
287,0,NA,1,0,0,0,0,84,84,0,0,90,453,0
288,0,NA,3,0,57.9375,0,3.837013,34,34,0,1,0,201,0
289,0,NA,1,0,0,0,0,16,16,0,0,56,244,0
290,0,NA,1,0,0,0,0,51,51,0,0,3,2953,0
291,0,NA,1,0,0,0,0,123,123,0,0,47,123,0
292,0,NA,1,0,0,0,0,22,22,0,0,93,624,0
293,0,NA,1,0,0,0,0,175,175,0,0,162,1502,0
294,0,NA,1,0,0,0,0,26,26,0,0,41,132,0
295,0,NA,1,0,0,0,0,29,29,0,0,67,355,0
296,0,NA,1,0,0,0,0,21,21,0,0,10,39,0
297,0,NA,1,0,0,0,0,131,131,0,0,56,963,0
298,0,NA,3,0,6.125,0,-17.91035,21,21,0,1,31,79,0
299,0,NA,1,0,0,0,0,169,169,0,0,168,1584,0
300,0,NA,1,0,0,0,0,136,136,0,0,55,2351,0
301,0,NA,3,0,65.5625,0,-5.307883,49,49,0,1,82,175,0
302,0,NA,2,0,8.375,0,-10.4161,14,14,0,1,43,77,0
303,0,NA,5,0,0.7291667,0,-1.833633,2,2,0,1,18,226,0
304,0,NA,1,0,0,0,0,28,28,0,0,165,2018,0
305,1,1,11,0,9.966666,0,7.80571,1,1,0,1,45,218,0
306,0,NA,3,0,19.52083,0,-68.08931,81,81,0,1,94,506,0
307,0,NA,5,0,3.708333,0,0.7837167,2,2,0,1,6,42,0
308,0,NA,1,0,0,0,0,132,132,0,0,160,1517,0
309,0,NA,5,0,7.052083,0,4.612058,1,1,0,1,16,61,0
310,0,NA,2,0,23.5,0,-132.631,144,144,0,1,126,1243,0
311,0,NA,1,0,0,0,0,6,6,0,0,9,23,0
312,0,NA,1,0,0,0,0,63,63,0,0,161,288,0
313,1,1,7,0,22.56944,0,5.355205,13,13,0,1,164,4107,0
314,0,NA,1,0,0,0,0,63,63,0,0,152,1903,0
315,0,NA,1,0,0,0,0,18,18,0,0,8,57,0
316,0,NA,4,0,57.33333,0,32.00622,10,10,0,1,168,412,0
317,0,NA,2,0,7.916667,0,-175.4709,179,179,0,1,131,659,0
318,1,1,3,0,0.8541667,0,-59.41595,59,59,0,1,48,963,0
319,0,NA,1,0,0,0,0,1,1,0,0,174,406,0
320,0,NA,6,0,12.83333,0,6.620336,4,4,0,1,28,137,0
321,0,NA,1,0,0,0,0,51,51,0,0,41,231,0
322,0,NA,1,0,0,0,0,131,131,0,0,85,275,0
323,0,NA,1,0,0,0,0,103,103,0,0,161,478,0
324,0,NA,2,0,13.79167,0,3.579133,3,3,0,1,11,185,0
325,0,NA,1,0,0,0,0,17,17,0,0,6,33,0
326,0,NA,3,0,10.9375,0,5.963517,1,1,0,1,19,68,0
327,0,NA,2,0,43.45833,0,6.966887,14,14,0,1,59,198,0
328,0,NA,1,0,0,0,0,135,135,0,0,176,1352,0
329,0,NA,1,0,0,0,0,8,8,0,0,81,142,0
330,0,NA,1,0,0,0,0,108,108,0,0,37,14,0
331,0,NA,1,0,0,0,0,7,7,0,0,97,229,0
332,0,NA,1,0,0,0,0,13,13,0,0,114,352,0
333,0,NA,1,0,0,0,0,110,110,0,0,187,516,0
334,0,NA,1,0,0,0,0,34,34,0,0,61,163,0
335,0,NA,1,0,0,0,0,34,34,0,0,33,94,0
336,0,NA,1,0,0,0,0,27,27,0,0,63,237,0
337,0,NA,1,0,0,0,0,168,168,0,0,114,5942,0
338,0,NA,2,0,0.7083333,0,-41.7522,42,42,0,1,115,218,0
339,0,NA,1,0,0,0,0,167,167,0,0,81,1399,0
340,0,NA,1,0,0,0,0,42,42,0,0,10,35,0
341,0,NA,1,0,0,0,0,7,7,0,0,71,234,0
342,0,NA,1,0,0,0,0,158,158,0,0,123,404,0
343,0,NA,1,0,0,0,0,44,44,0,0,165,1754,0
344,0,NA,1,0,0,0,0,91,91,0,0,55,464,0
345,0,NA,1,0,0,0,0,43,43,0,0,30,410,0
346,0,NA,1,0,0,0,0,8,8,0,0,27,70,0
347,0,NA,1,0,0,0,0,171,171,0,0,-1,6,0
348,0,NA,1,0,0,0,0,24,24,0,0,138,275,0
349,0,NA,1,0,0,0,0,38,38,0,0,129,429,0
350,0,NA,1,0,0,0,0,20,20,0,0,5,14,0
351,0,NA,1,0,0,0,0,111,111,0,0,150,1501,0
352,0,NA,1,0,0,0,0,182,182,0,0,175,4216,0
353,0,NA,1,0,0,0,0,17,17,0,0,36,76,0
354,0,NA,2,0,8.875,0,-130.0109,134,134,0,1,168,941,0
355,0,NA,1,0,0,0,0,4,4,0,0,11,71,0
356,1,1,2,0,43.875,0,20.15643,1,1,0,1,55,227,0
357,0,NA,1,0,0,0,0,22,22,0,0,35,134,0
358,0,NA,1,0,0,0,0,4,4,0,0,69,214,0
359,0,NA,1,0,0,0,0,7,7,0,0,7,25,0
360,0,NA,3,0,54.5625,0,-20.58215,56,56,0,1,148,1360,0
361,0,NA,1,0,0,0,0,175,175,0,0,18,99,0
362,0,NA,1,0,0,0,0,44,44,0,0,46,99,0
363,0,NA,1,0,0,0,0,70,70,0,0,88,368,0
364,0,NA,1,0,0,0,0,22,22,0,0,169,9389,0
365,0,NA,2,0,123.1667,0,9.801562,51,51,0,1,138,546,0
366,0,NA,1,0,0,0,0,3,3,0,0,15,70,0
367,0,NA,1,0,0,0,0,157,157,0,0,173,866,0
368,0,NA,1,0,0,0,0,82,82,0,0,141,461,0
369,0,NA,1,0,0,0,0,7,7,0,0,4,26,0
370,0,NA,1,0,0,0,0,2,2,0,0,44,145,0
371,0,NA,3,0,19,0,10.81757,1,1,0,1,99,140,0
372,0,NA,1,0,0,0,0,4,4,0,0,162,658,0
373,0,NA,2,0,32.79167,0,-14.5797,30,30,0,1,41,63,0
374,0,NA,1,0,0,0,0,81,81,0,0,130,616,0
375,0,NA,1,0,0,0,0,15,15,0,0,66,291,0
376,0,NA,1,0,0,0,0,133,133,0,0,99,247,0
377,0,NA,1,0,0,0,0,78,78,0,0,171,604,0
378,0,NA,1,0,0,0,0,53,53,0,0,26,178,0
379,0,NA,1,0,0,0,0,51,51,0,0,37,154,0
380,0,NA,2,0,102.875,0,-14.59133,66,66,0,1,173,388,0
381,0,NA,2,0,32.41667,0,-125.6891,141,141,0,1,171,2534,0
382,0,NA,1,0,0,0,0,5,5,0,0,23,419,0
383,0,NA,1,0,0,0,0,22,22,0,0,37,265,0
384,0,NA,1,0,0,0,0,51,51,0,0,14,107,0
385,0,NA,1,0,0,0,0,85,85,0,0,25,111,0
386,0,NA,1,0,0,0,0,37,37,0,0,6,40,0
387,0,NA,1,0,0,0,0,48,48,0,0,177,1979,0
388,0,NA,17,0,8.994792,0,-31.59448,40,40,0,1,65,405,0
389,0,NA,1,0,0,0,0,108,108,0,0,173,676,0
390,0,NA,1,0,0,0,0,49,49,0,0,45,99,0
391,0,NA,1,0,0,0,0,10,10,0,0,168,1768,0
392,0,NA,1,0,0,0,0,52,52,0,0,63,490,0
393,1,1,5,0,14.85417,0,-73.45097,85,85,0,1,158,1041,0
394,0,NA,1,0,0,0,0,121,121,0,0,84,588,0
395,0,NA,1,0,0,0,0,29,29,0,0,57,181,0
396,0,NA,1,0,0,0,0,111,111,0,0,30,272,0
397,0,NA,2,0,56.625,0,27.93862,0,0,0,1,28,94,0
398,0,NA,1,0,0,0,0,69,69,0,0,157,1005,0
399,0,NA,1,0,0,0,0,2,2,0,0,174,907,0
400,0,NA,1,0,0,0,0,23,23,0,0,19,512,0
401,0,NA,1,0,0,0,0,75,75,0,0,16,49,0
402,0,NA,1,0,0,0,0,111,111,0,0,128,334,0
403,0,NA,1,0,0,0,0,33,33,0,0,30,565,0
404,0,NA,1,0,0,0,0,3,3,0,0,164,441,0
405,0,NA,1,0,0,0,0,90,90,0,0,39,168,0
406,0,NA,2,0,14.41667,0,-7.824791,15,15,0,1,159,1513,0
407,0,NA,1,0,0,0,0,0,0,0,0,3,365,0
408,0,NA,1,0,0,0,0,148,148,0,0,42,131,0
409,0,NA,1,0,0,0,0,13,13,0,0,39,429,0
